"X","decision_factors_decision_factors_party","decision_factors_decision_factors_personalvalues","decision_factors_decision_factors_experts","decision_factors_decision_factors_constituents","accuracy","accuracy_response","preference","preference_response","familiarity","partisan_bias","partisan_diss","pid_3","gov_exp","pid_indep","Staffer","area","ideo5","issue","republican","liberal","age","female","republican_alignment","democrat_alignment","deference_experts","deference_party","deference_personalvalues","deference_constituents","accuracy_3","treated","accuracy_bin","issue_full","Level","weight","Population_bin","Education_bin","Urban_bin","Voteshare_bin"
1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
1067,0,0.5,0.75,0.5,NA,NA,NA,NA,0.67,0,NA,"Democrat",15,NA,0,"local area","Somewhat liberal","GMO",0,1,NA,NA,0,0,0.5,-0.25,0.25,0.25,NA,0,NA,"GMO","municipality",2.29876260014031e-14,"HIGH","low","HIGH","HIGH"
1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
1069,0,0.5,0.75,0.75,0.5,0,0.5,0.167,0.67,0,"Neither party is more likely than the other to support a GMO ban","Republican",16,NA,0,"county","Moderate, middle of the road","GMO",1,0,61,0,0,0,0.5,-0.25,0.25,0.5,"Unsure",0,0,"GMO","county",3.12658895917436,"low","low",NA,"HIGH"
1070,0,0.75,1,0.75,0.5,NA,0.5,NA,1,1,"Democrats are more likely to support a GMO ban","Republican",15,NA,0,"local area","Somewhat conservative","GMO",1,0,39,0,1,0,0.625,-0.375,0.375,0.375,"Unsure",1,0,"GMO","municipality",2.29876260014031e-14,"low","low","HIGH","low"
1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Independent",2,"Democratic Party",0,"local area","Somewhat liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","HIGH"
1072,0.25,1,0,0.75,0,NA,1,NA,1,1,"Democrats are more likely to support a GMO ban","Republican",57,NA,0,"district","Very conservative","GMO",1,0,59,0,1,0,-0.625,-0.375,0.375,0.125,"Misinformed",1,0,"GMO","state",0.99976235590456,"HIGH","low","low","HIGH"
1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",25,NA,0,"local area","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","county",5.00007598160723,"HIGH","low","low","HIGH"
1074,0,0.75,1,0.75,0.75,NA,0.167,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Democrat",6,NA,0,"district","Very liberal","GMO",0,1,48,1,0,0,0.625,-0.375,0.375,0.375,"Informed",1,1,"GMO","state",1,NA,NA,NA,NA
1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",3,NA,0,"district","Very conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.851079886143661,"HIGH","low","low",NA
1076,0.5,0.5,1,0.75,NA,NA,0.167,0,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",3,NA,0,"district","Moderate, middle of the road","GMO",0,0,NA,NA,1,0,0.5,0,0,0.25,NA,0,NA,"GMO","state",0.727737781483878,"HIGH","HIGH","HIGH",NA
1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",NA,NA,1,"district",NA,"GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.99976235590456,"HIGH","low","low","HIGH"
1078,0,1,1,1,1,0,0.5,-0.167,0.33,0,"Neither party is more likely than the other to support a GMO ban","Democrat",2,NA,0,"local area","Somewhat conservative","GMO",0,0,55,1,0,0,0.5,-0.5,0.5,0.5,"Informed",0,1,"GMO","municipality",2.50842563896479,"low","low","low","HIGH"
1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent",4,"Neither",0,"local area","Moderate, middle of the road","GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","township",9.34530940872844e-15,"low","HIGH","low","low"
1080,0,1,0.75,1,1,NA,0.5,NA,1,0,"Neither party is more likely than the other to support a GMO ban","Republican",25,NA,0,"local area","Somewhat conservative","GMO",1,0,NA,0,0,0,0.25,-0.5,0.5,0.5,"Informed",1,1,"GMO","municipality",2.29876260014031e-14,"low","low","HIGH","low"
1081,0,0.5,0.5,0.5,0.75,NA,0.833,NA,0,0,"Neither party is more likely than the other to support a GMO ban","Other party (Please specify):",20,"Neither",0,"local area","Somewhat conservative","GMO",NA,0,NA,NA,0,0,0.25,-0.25,0.25,0.25,"Informed",1,1,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",27,NA,1,"district","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1083,0,0.75,0.5,0.75,1,0,0,0,1,1,"Republicans are more likely to support a GMO ban","Republican",10,NA,0,"local area","Moderate, middle of the road","GMO",1,0,NA,1,0,1,0.125,-0.375,0.375,0.375,"Informed",0,1,"GMO","local",5.00007598160723,NA,NA,NA,NA
1084,0,0.75,0.75,0.25,0.75,0.25,0.5,0,0.67,1,"Neither party is more likely than the other to support a GMO ban","Independent",2,"Republican Party",0,"county","Somewhat conservative","GMO",1,0,60,0,0,0,0.375,-0.375,0.375,-0.125,"Informed",0,1,"GMO","county",0.495051171456088,"HIGH","low","low","HIGH"
1085,0,0.75,0.75,0.5,0.75,NA,0.5,NA,0.67,0,"Democrats are more likely to support a GMO ban","Independent",4,"Neither",0,"district","Moderate, middle of the road","GMO",NA,0,48,1,1,0,0.375,-0.375,0.375,0.125,"Informed",1,1,"GMO","state",1,NA,NA,NA,NA
1086,0,0.5,1,0.25,0.75,NA,0.833,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Democrat",8,NA,0,"local area","Somewhat liberal","GMO",0,1,NA,NA,0,0,0.75,-0.25,0.25,0,"Informed",1,1,"GMO","municipality",1.01976662242037,"low","HIGH","low","HIGH"
1087,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Republican",40,NA,0,"local area","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","municipality",9.34530940872844e-15,"low","low","HIGH","low"
1088,0,0.75,1,0.25,1,NA,0.667,NA,0,0,"Republicans are more likely to support a GMO ban","Independent",4,"Republican Party",0,"local area","Somewhat conservative","GMO",1,0,NA,NA,0,1,0.625,-0.375,0.375,-0.125,"Informed",1,1,"GMO","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
1089,0,0.5,0.5,0.5,0.75,NA,0.5,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Democrat",36,NA,1,"district","Moderate, middle of the road","GMO",0,0,58,1,0,0,0.25,-0.25,0.25,0.25,"Informed",1,1,"GMO","state",1.13831149855159,"low","low","HIGH",NA
1090,0,0.5,0.75,0.5,0.5,NA,0.5,NA,0,0,"Neither party is more likely than the other to support a GMO ban","Independent",40,"Republican Party",0,"county","Somewhat conservative","GMO",1,0,NA,NA,0,0,0.5,-0.25,0.25,0.25,"Unsure",1,0,"GMO","county",1.32553428184128,"low","low",NA,"HIGH"
1091,0.25,0.75,0.75,0.5,0.75,NA,0.5,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Republican",5,NA,0,"county","Somewhat conservative","GMO",1,0,76,1,0,0,0.25,-0.25,0.25,0,"Informed",1,1,"GMO","county",0.495051171456088,"HIGH","low","low","HIGH"
1092,0.5,0.5,1,1,0.5,NA,0.5,NA,1,0,"Democrats are more likely to support a GMO ban","Republican",3,NA,0,"local area","Very conservative","GMO",1,0,NA,NA,1,0,0.5,0,0,0.5,"Unsure",1,0,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
1093,0,0.5,1,0.75,1,0,0.833,0,1,0,"Democrats are more likely to support a GMO ban","Independent",30,"Republican Party",0,"county","Somewhat conservative","GMO",1,0,NA,NA,1,0,0.75,-0.25,0.25,0.5,"Informed",0,1,"GMO","county",0.474967552135226,"HIGH","low","low","HIGH"
1094,0.5,0.75,0.75,0.5,0.75,NA,0.5,NA,0.67,0,"Republicans are more likely to support a GMO ban","Republican",47,NA,0,"district","Very conservative","GMO",1,0,NA,NA,0,1,0.125,-0.125,0.125,-0.125,"Informed",1,1,"GMO","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent",12,"Neither",0,"local area","Moderate, middle of the road","GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",0.533273297088251,"HIGH","low","HIGH","low"
1098,0,1,0.75,0,NA,NA,0.5,0,0,0,"Neither party is more likely than the other to support a GMO ban","Democrat",35,NA,0,"local area","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,0.25,-0.5,0.5,-0.5,NA,0,NA,"GMO","municipality",1.01976662242037,"HIGH","HIGH","HIGH","HIGH"
1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent",NA,"Neither",1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.766166981144734,"HIGH","HIGH","low","low"
1101,0.5,1,1,0.75,0.75,NA,0.833,NA,0.67,0,"Democrats are more likely to support a GMO ban","Republican",20,NA,1,"district","Somewhat conservative","GMO",1,0,NA,NA,1,0,0.25,-0.25,0.25,0,"Informed",1,1,"GMO","state",1,NA,NA,NA,NA
1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",5,NA,1,"district","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",0.640666014731827,"HIGH","HIGH","low","HIGH"
1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",20,NA,0,"district","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.533273297088251,"HIGH","low","HIGH","low"
1104,0.5,0.75,1,0.75,0.5,NA,0.5,NA,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",5,NA,1,"district","Somewhat liberal","GMO",0,1,NA,NA,1,0,0.375,-0.125,0.125,0.125,"Unsure",1,0,"GMO","state",0.533273297088251,"HIGH","low","HIGH","low"
1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",2,NA,1,"district","Somewhat conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
1106,0,0.5,1,0.75,NA,NA,NA,NA,0.67,NA,NA,NA,20,"Neither",0,"local area","Moderate, middle of the road","GMO",NA,0,NA,NA,0,0,0.75,-0.25,0.25,0.5,NA,0,NA,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",1,NA,1,"district","Somewhat liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",0.468682528429356,"HIGH","HIGH","low","low"
1108,1,0.75,0.75,1,NA,NA,0.167,0.333,0.67,NA,"Neither party is more likely than the other to support a GMO ban","Republican",32,NA,1,"district","Somewhat conservative","GMO",1,0,NA,NA,0,0,-0.125,0.125,-0.125,0.125,NA,0,NA,"GMO","state",0.550565942447265,"HIGH","low","low",NA
1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1110,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Republican",8,NA,1,"district","Very conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",1,NA,NA,NA,NA
1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",0.523381605575244,"HIGH","HIGH","HIGH","low"
1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",4,NA,1,"district","Somewhat liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.473132600708826,"HIGH","low","HIGH","low"
1113,0,0.5,0,0.5,NA,NA,0.5,0,0.33,0,"Neither party is more likely than the other to support a GMO ban","Independent",22,"Republican Party",0,"county","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,-0.25,-0.25,0.25,0.25,NA,0,NA,"GMO","county",0.876274790964345,"low","low",NA,"HIGH"
1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1.6847845404614,"low","low","HIGH","low"
1115,0.25,0,0.75,0.5,NA,NA,1,0,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",5,NA,1,"district","Somewhat liberal","GMO",0,1,NA,NA,1,0,0.625,0.125,-0.125,0.375,NA,0,NA,"GMO","state",0.545387567009102,"HIGH","HIGH","low",NA
1116,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0,NA,"Democrat",10,NA,0,"local area","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
1117,1,1,0.5,0.75,NA,NA,NA,NA,0.33,1,"Democrats are more likely to support a GMO ban","Republican",8,NA,0,"district","Very conservative","GMO",1,0,NA,NA,1,0,-0.5,0,0,-0.25,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1118,0.25,0.25,0.75,0.5,NA,NA,0.5,0,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",1,NA,0,"district","Very liberal","GMO",0,1,NA,NA,1,0,0.5,0,0,0.25,NA,0,NA,"GMO","state",0.550565942447265,"HIGH","low","low",NA
1119,0.25,0.75,0.5,0.75,NA,NA,NA,NA,0.67,NA,"Neither party is more likely than the other to support a GMO ban","Republican",20,NA,0,"local area","Somewhat conservative","GMO",1,0,NA,NA,0,0,0,-0.25,0.25,0.25,NA,0,NA,"GMO","township",9.34530940872844e-15,"low","HIGH","low","low"
1120,0,0.75,0.75,0.75,NA,NA,NA,NA,1,0,"Democrats are more likely to support a GMO ban","Democrat",18,NA,0,"district","Very liberal","GMO",0,1,NA,NA,1,0,0.375,-0.375,0.375,0.375,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",22,NA,1,"district","Very liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",0.523381605575244,"HIGH","HIGH","HIGH","low"
1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",3,NA,0,"local area","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","municipality",2.29876260014031e-14,"HIGH","low","HIGH","low"
1123,0.25,0.25,0.75,0.5,1,NA,1,NA,0.67,0,"Democrats are more likely to support a GMO ban","Republican",8,NA,0,"district","Moderate, middle of the road","GMO",1,0,NA,NA,1,0,0.5,0,0,0.25,"Informed",1,1,"GMO","state",3.0021176816586,"low","HIGH","low",NA
1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",4,NA,0,"local area","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
1125,0,0.75,1,0.25,NA,NA,0.167,0,0.67,0,"Neither party is more likely than the other to support a GMO ban","Democrat",2,NA,0,"local area","Very liberal","GMO",0,1,NA,NA,0,0,0.625,-0.375,0.375,-0.125,NA,0,NA,"GMO","municipality",1.01976662242037,"low","low","low","HIGH"
1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",30,NA,0,"district","Not sure","GMO",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
1127,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Republican",7,NA,0,"local area","Somewhat conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","township",9.34530940872844e-15,"low","HIGH","HIGH","low"
1128,NA,0.5,0.5,0.5,NA,NA,0.833,0,0.67,0,"Democrats are more likely to support a GMO ban","Republican",15,NA,0,"county","Somewhat conservative","GMO",1,0,NA,NA,1,0,0,NA,0,0,NA,0,NA,"GMO","county",2.0669032285051,"low","HIGH",NA,"HIGH"
1129,0,0.75,1,0.25,1,NA,1,NA,0.67,0,"Democrats are more likely to support a GMO ban","Independent",12,"Democratic Party",0,"local area","Moderate, middle of the road","GMO",0,0,NA,NA,1,0,0.625,-0.375,0.375,-0.125,"Informed",1,1,"GMO","municipality",2.29876260014031e-14,"HIGH","low","HIGH","low"
1130,0,0.75,0.75,1,NA,NA,0.167,0,0.67,0,"Neither party is more likely than the other to support a GMO ban","Republican",6,NA,0,"local area","Somewhat conservative","GMO",1,0,NA,NA,0,0,0.375,-0.375,0.375,0.625,NA,0,NA,"GMO","municipality",9.34530940872844e-15,"low","low","HIGH","HIGH"
1131,0.25,0.75,0.5,0.75,0.75,NA,0.667,NA,0.67,0,"Republicans are more likely to support a GMO ban","Republican",36,NA,0,"district","Moderate, middle of the road","GMO",1,0,NA,NA,0,1,0,-0.25,0.25,0.25,"Informed",1,1,"GMO","state",2.54912918890522,"low","HIGH",NA,"HIGH"
1132,0.25,0.75,0.75,0.25,NA,NA,NA,NA,0.67,NA,NA,"Republican",2,NA,0,"district","Somewhat conservative","GMO",1,0,NA,NA,0,0,0.25,-0.25,0.25,-0.25,NA,0,NA,"GMO","state",1,NA,NA,NA,NA
1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",NA,NA,0,"district",NA,"GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1.77426404520896,"HIGH","low","HIGH","HIGH"
1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",9,NA,0,"local area","Somewhat liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","municipality",9.34530940872844e-15,"low","HIGH","low","low"
1135,NA,NA,0.75,NA,NA,NA,NA,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Democrat",19,NA,1,"district","Somewhat liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.545387567009102,"HIGH","HIGH","HIGH",NA
1136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",8,NA,0,"local area","Moderate, middle of the road","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","municipality",1.01976662242037,"low","HIGH","HIGH","HIGH"
1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Independent",NA,"Democratic Party",0,"county","Very liberal","GMO",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","county",0.495051171456088,"HIGH","low","low","HIGH"
1138,0.25,1,1,0.25,1,NA,0.5,NA,0.33,0,"Democrats are more likely to support a GMO ban","Republican",6,NA,0,"county","Somewhat conservative","GMO",1,0,NA,NA,1,0,0.375,-0.375,0.375,-0.375,"Informed",1,1,"GMO","county",0.495051171456088,"HIGH","low","low","HIGH"
1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",0.78064721381666,"HIGH","low","low","low"
1140,0.75,0.75,0.75,0.5,1,NA,0.667,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Independent",26,"Republican Party",0,"county","Somewhat conservative","GMO",1,0,NA,NA,0,0,0,0,0,-0.25,"Informed",1,1,"GMO","county",2.15430056212872,"low","low","low","HIGH"
1141,0,0.5,1,0.75,0.5,0.25,0.667,0.166,0.67,0,"Democrats are more likely to support a GMO ban","Independent",20,"Republican Party",0,"local area","Somewhat conservative","GMO",1,0,NA,NA,1,0,0.75,-0.25,0.25,0.5,"Unsure",0,0,"GMO","municipality",9.34530940872844e-15,"HIGH","low","HIGH","HIGH"
1142,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.333,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",3,NA,0,"county","Very liberal","GMO",0,1,NA,NA,1,0,0.375,0.125,-0.125,0.125,"Unsure",0,0,"GMO","county",0.495051171456088,"HIGH","low","low","low"
1143,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Independent",15,"Neither",0,"county","Somewhat conservative","GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","county",0.495051171456088,"HIGH","HIGH","low","low"
1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",2,NA,0,"local area","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
1145,0.75,0.75,1,1,0.75,0.25,NA,NA,1,0,"Neither party is more likely than the other to support a GMO ban","Democrat",1,NA,0,"district","Somewhat liberal","GMO",0,1,NA,NA,0,0,0.25,0,0,0.25,"Informed",0,1,"GMO","state",0.74149171849679,"HIGH","low","HIGH",NA
1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"local area",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","municipality",9.34530940872844e-15,"low","HIGH","HIGH","HIGH"
1147,0.75,0.75,0.75,0.75,0.25,0.75,NA,NA,0.67,0,"Democrats are more likely to support a GMO ban","Republican",4,NA,0,"county","Moderate, middle of the road","GMO",1,0,NA,NA,1,0,0,0,0,0,"Misinformed",0,0,"GMO","county",0.495051171456088,"HIGH","HIGH","low","low"
1148,0,0.5,1,0.5,1,0,0.5,NA,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",12,NA,0,"local area","Very liberal","GMO",0,1,NA,NA,1,0,0.75,-0.25,0.25,0.25,"Informed",0,1,"GMO","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",18,NA,0,"county","Somewhat conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","county",0.495051171456088,"HIGH","HIGH","HIGH","low"
1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",1.13431075911112,"HIGH","HIGH","HIGH","HIGH"
1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"district",NA,"GMO",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","state",1,NA,NA,NA,NA
1152,0.5,0.5,0.75,0.25,0.5,NA,0.5,NA,0.33,0,"Neither party is more likely than the other to support a GMO ban","Independent",5,"Democratic Party",0,"district","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,0.25,0,0,-0.25,"Unsure",1,0,"GMO","state",1,NA,NA,NA,NA
1153,0.5,0.75,0.75,0.75,NA,NA,NA,NA,0.33,NA,NA,"Republican",28,NA,0,"county","Somewhat conservative","GMO",1,0,NA,NA,0,0,0.125,-0.125,0.125,0.125,NA,1,NA,"GMO","county",0.718479841722498,"low","low","low","HIGH"
1154,0,0.5,1,0.75,1,0,0.667,0,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",1.5,NA,0,"district","Moderate, middle of the road","GMO",0,0,NA,NA,1,0,0.75,-0.25,0.25,0.5,"Informed",0,1,"GMO","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
1155,0.5,0,0.75,1,0.25,NA,0.5,NA,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",14,NA,0,"district","Somewhat liberal","GMO",0,1,NA,NA,1,0,0.5,0.25,-0.25,0.75,"Misinformed",0,0,"GMO","state",1,NA,NA,NA,NA
1156,0.5,0.75,1,0,0.25,NA,0.167,NA,0.67,0,"Democrats are more likely to support a GMO ban","Democrat",6,NA,1,"district","Moderate, middle of the road","GMO",0,0,NA,NA,1,0,0.375,-0.125,0.125,-0.625,"Misinformed",1,0,"GMO","state",0.533273297088251,"HIGH","low","low","low"
1157,0,0.25,0.75,0.5,1,0,0.833,0,1,0,"Democrats are more likely to support a GMO ban","Democrat",11,NA,0,"county","Moderate, middle of the road","GMO",0,0,NA,NA,1,0,0.625,-0.125,0.125,0.375,"Informed",0,1,"GMO","county",0.876274790964345,"low","HIGH","low","HIGH"
1158,0.5,0.5,0.5,0.5,0.25,NA,0.5,NA,0.67,0,"Neither party is more likely than the other to support a GMO ban","Democrat",40,NA,0,"county","Somewhat conservative","GMO",0,0,NA,NA,0,0,0,0,0,0,"Misinformed",1,0,"GMO","county",0.748860181528868,"HIGH","low","low","HIGH"
1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",6,NA,0,"district","Very conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"GMO","state",1,NA,NA,NA,NA
1160,0.25,0.75,0.25,0.75,0.25,0,0.167,0,0.67,0,"Neither party is more likely than the other to support a GMO ban","Republican",12,NA,0,"local area","Very conservative","GMO",1,0,NA,NA,0,0,-0.25,-0.25,0.25,0.25,"Misinformed",0,0,"GMO","municipality",2.29876260014031e-14,"low","low","HIGH","HIGH"
1161,0.25,0.75,0.75,0,1,0,0.5,0.333,0,0,"Neither party is more likely than the other to support a GMO ban","Democrat",8,NA,0,"local area","Moderate, middle of the road","GMO",0,0,NA,NA,0,0,0.25,-0.25,0.25,-0.5,"Informed",0,1,"GMO","municipality",5.00007598160723,"low","low","low","HIGH"
1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent",18,"Republican Party",0,"county","Very conservative","GMO",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"GMO","county",0.748860181528868,"HIGH","low","low","HIGH"
